WKT,fid
"SRID=3857;POLYGON ((-174973.7567527759 745081.4674027314, -174973.56744084135 745067.625602453, -174962.88077747208 745067.7712525461, -174963.05887684546 745081.1984791707, -174958.81762890745 745081.2545217136, -174958.47254259104 745056.014116284, -174977.51936489544 745055.7450920525, -174977.86445120553 745081.4113601883, -174973.7567527759 745081.4674027314))",82
"SRID=3857;POLYGON ((-174387.7820730601 744937.8483993815, -174393.8824021813 744913.9194110616, -174428.3246591748 744922.6952839874, -174429.17060618938 744919.3440304879, -174438.03162581008 744921.6081021739, -174430.09454050355 744952.7549726819, -174421.43394524782 744950.5470429087, -174422.42465431304 744946.6803185471, -174387.7820730601 744937.8483993815))",102
"SRID=3857;POLYGON ((-174261.17834428034 744851.0763962769, -174261.1115695293 744848.7451976935, -174257.12640827056 744852.555872843, -174252.79606058364 744848.0278360592, -174252.70696084102 744832.560969145, -174257.34895740976 744825.2757747605, -174261.6014178963 744827.9768917272, -174261.6014178963 744816.0180143663, -174280.31416621554 744816.0852449297, -174280.26971645604 744826.9120883781, -174306.73033826536 744827.0017963503, -174306.73033826536 744826.1948278245, -174319.16475819552 744826.239681807, -174319.08677089593 744851.2781888979, -174306.20715257557 744851.2333348951, -174306.20715257557 744850.5721163244, -174280.4367033927 744850.48240832, -174280.39215352145 744861.6903664646, -174261.13389452087 744861.6231358453, -174261.17834428034 744851.0763962769))",106
"SRID=3857;POLYGON ((-174170.27488079338 744929.5545288587, -174178.63503972217 744929.588194611, -174204.40548890503 744929.6778019493, -174204.38316391347 744935.6179927811, -174203.08070585466 744935.6068044588, -174203.05848097493 744943.5645222906, -174168.83887322614 744943.4524374929, -174168.8945355405 744929.5545288587, -174170.27488079338 744929.5545288587))",110
"SRID=3857;POLYGON ((-174178.76858922426 744906.6230175572, -174170.39731785876 744906.6342058672, -174169.3063966079 744906.6342058672, -174169.3063966079 744906.3316174322, -174169.29528416487 744894.4736193819, -174202.72450710155 744894.4399536577, -174202.73561953826 744906.5894526147, -174195.87834303957 744906.6006409308, -174195.88955559442 744911.6105864297, -174192.00450640952 744911.6105864297, -174192.00450640952 744906.6006409308, -174178.76858922426 744906.6230175572))",111
"SRID=3857;POLYGON ((-174143.747484233 744934.7437919488, -174143.78082154944 744930.4399179233, -174136.24448486735 744930.3838755408, -174136.40035936097 744905.8385252882, -174136.42268435252 744903.3615739191, -174136.42268435252 744902.689065622, -174155.90359259778 744902.8123386457, -174155.89238004928 744904.3365698643, -174155.88126760622 744905.9729866353, -174155.71428066955 744930.5296260648, -174146.24097561018 744930.4623953546, -174146.21875073042 744934.766269382, -174143.747484233 744934.7437919488))",112
"SRID=3857;POLYGON ((-174114.5260718061 744909.0327383896, -174114.7710460423 744875.7003425657, -174121.14958661704 744875.7450957932, -174121.19413648837 744869.6367844769, -174120.39263923955 744869.2669656109, -174120.09210279447 744868.4488081612, -174120.44830154756 744867.641738237, -174121.2720236761 744867.339150017, -174122.0735209312 744867.6977805616, -174122.3741574818 744868.4935613829, -174127.97352579297 744868.5384154061, -174128.00686311576 744864.0216663999, -174165.88887079843 744864.301777197, -174165.84442103893 744869.5135115213, -174170.68674186082 744869.5471772302, -174170.65340453802 744874.7699995673, -174165.81098360434 744874.736434644, -174165.7887587246 744877.2469496389, -174129.07555948687 744876.9780270795, -174128.88634767043 744903.3055315645, -174128.86402267887 744905.7936712407, -174128.84179779913 744909.1336348065, -174114.5260718061 744909.0327383896), (-174127.71743911368 744876.137392112, -174127.73976410524 744871.4525155007, -174122.6524690408 744871.4188497842, -174122.63014404924 744876.103827188, -174127.71743911368 744876.137392112))",113
"SRID=3857;POLYGON ((-174175.90768653914 744963.2792543466, -174205.94170865158 744963.2120236029, -174205.97504597437 744973.9941427791, -174191.32544621977 744974.0277077568, -174191.33655866282 744981.010333048, -174175.95223641043 744981.0438980362, -174175.90768653914 744963.2792543466))",115
"SRID=3857;POLYGON ((-174170.27488079338 744929.5545288587, -174170.39731785876 744906.6342058672, -174178.76858922426 744906.6230175572, -174178.63503972217 744929.588194611, -174170.27488079338 744929.5545288587))",116
"SRID=3857;POLYGON ((-174249.8015082846 744802.2546999088, -174249.4007596539 744761.8388745125, -174272.4550682086 744761.4689555845, -174290.60018107857 744761.4353907305, -174330.95345526497 744761.0319069515, -174331.0536674443 744771.7018011516, -174331.35420388938 744801.4477317532, -174290.87839252574 744801.8512158295, -174249.8015082846 744802.2546999088), (-174322.5377341337 744787.908489115, -174322.370747197 744772.6768955458, -174296.60029801415 744772.9459183826, -174296.75607239595 744788.1775120328, -174322.5377341337 744787.908489115), (-174285.2902367631 744787.5050051411, -174285.13436226945 744772.2734116841, -174259.3639130866 744772.542434519, -174259.51968746842 744787.7740280571, -174285.2902367631 744787.5050051411))",124
