WKT,fid
"SRID=3857;POLYGON ((-175154.18333449695 746301.3587617273, -175149.0403771245 746297.3349993106, -175148.060780496 746298.5903397701, -175137.57444137984 746290.3858728932, -175138.55413812015 746289.1306334197, -175132.23115974796 746284.1877943688, -175143.396458942 746269.9309060372, -175153.23717530302 746277.6309759696, -175147.3928327493 746285.106871895, -175153.8049108641 746290.1169434065, -175159.17041737575 746283.2574274628, -175154.62863299265 746279.7156830773, -175158.4691323126 746274.7952220613, -175168.69938474946 746282.7978887103, -175165.13719699488 746287.3597106093, -175167.94243736565 746289.5565056381, -175160.884736502 746298.579151176, -175158.07949612488 746296.3823557791, -175154.18333449695 746301.3587617273))",6476
"SRID=3857;POLYGON ((-175135.5930232431 746325.7703729279, -175115.8783533101 746310.571917803, -175127.43328868557 746295.564076235, -175135.64868555742 746301.8968224209, -175131.17357581988 746307.6914077856, -175129.74868069566 746306.5930098966, -175126.79877837346 746310.4262644071, -175135.09206243305 746316.8149553201, -175143.10703493995 746306.4136899195, -175138.932561753 746302.8494660421, -175141.3037161829 746300.0698554085, -175139.0662113669 746298.1531780832, -175136.69505693697 746300.9440780183, -175128.2904482487 746293.7819646171, -175131.88607343787 746288.5029632916, -175151.12210755236 746305.6178882149, -175135.5930232431 746325.7703729279))",6477
"SRID=3857;POLYGON ((-175141.10329181165 746324.8288167096, -175153.6712612502 746309.0139808834, -175158.85876849396 746313.1386431602, -175146.30191149845 746328.953480184, -175141.10329181165 746324.8288167096))",6481
"SRID=3857;POLYGON ((-175098.5681751235 746369.9644655382, -175079.9109890068 746355.326436576, -175095.72949731816 746335.1516645735, -175114.38658332307 746349.7783987331, -175098.5681751235 746369.9644655382), (-175105.36978931422 746352.3002707033, -175097.75546531987 746347.2229610604, -175092.44552101076 746355.180783061, -175100.05984499876 746360.2580934417, -175105.36978931422 746352.3002707033))",6486
"SRID=3857;POLYGON ((-175118.12697056288 746346.6737113176, -175098.86871156862 746332.1926314407, -175110.01178587665 746317.3641039655, -175116.50175118554 746322.2397136001, -175109.53315005815 746331.4977283967, -175117.7929966895 746337.7071016827, -175127.0882023755 746325.3555882297, -175131.5966494358 746328.7516821225, -175118.12697056288 746346.6737113176))",6487
"SRID=3857;POLYGON ((-175062.66758557758 746428.1801554025, -175048.93080769412 746416.9158329957, -175048.04021070275 746417.958189188, -175051.8473726999 746421.6121311409, -175049.89929188593 746423.7080323502, -175024.3402793929 746410.0340247249, -175045.06798338896 746381.4977082192, -175047.32781319655 746383.2237788178, -175068.8235770068 746357.1982606673, -175073.97764682228 746361.2668827281, -175072.7754009491 746363.0601851433, -175087.19123901599 746374.5486719251, -175088.79423351356 746372.8001235771, -175094.57180131628 746377.2385758298, -175093.19135595157 746379.065545417, -175120.96564837455 746400.2604130179, -175114.1305967556 746408.6217386321, -175097.23227963012 746395.2278533962, -175096.36400763027 746396.2702091819, -175111.5925555008 746409.0924670574, -175108.53122843808 746412.5222328071, -175109.16573875654 746415.9183321067, -175101.20642856395 746419.7515942645, -175099.55888418874 746416.8710785097, -175097.0430678137 746418.2048428634, -175098.6794997522 746421.1077359393, -175086.66805332623 746426.9136233452, -175085.35448282433 746423.6296111887, -175080.16697557428 746426.274763011, -175081.51398351075 746429.188945934, -175062.74547276535 746437.9986273947, -175058.63787444125 746430.5675658894, -175062.66758557758 746428.1801554025), (-175069.89227337792 746424.8624764993, -175069.50263719654 746423.9770632974, -175068.85691432958 746424.2572828657, -175069.23543807425 746425.1426960785, -175069.89227337792 746424.8624764993), (-175076.63822525428 746421.4328107809, -175076.00371494214 746420.3007439423, -175073.10937482244 746421.9483946047, -175073.7549975776 746423.0691720599, -175076.63822525428 746421.4328107809), (-175083.02797837753 746419.1462998893, -175084.24133669375 746420.8835602938, -175085.30993295307 746420.1438008373, -175084.09657463682 746418.4065404565, -175083.02797837753 746419.1462998893), (-175073.55467331814 746419.8300154204, -175069.72528644124 746416.691657367, -175069.3913125679 746417.0951533346, -175073.23181188785 746420.233511411, -175073.55467331814 746419.8300154204), (-175059.88457008023 746417.3305175893, -175047.55036233575 746407.2431192355, -175046.97151433164 746407.9492118574, -175059.30572207613 746418.0367111395, -175059.88457008023 746417.3305175893), (-175042.22930558358 746412.1859693949, -175041.55024539382 746411.6480084158, -175040.8044104594 746412.5782767116, -175041.48347064282 746413.1274263173, -175042.22930558358 746412.1859693949), (-175037.7988458228 746408.8347256045, -175035.53901602156 746407.1870753366, -175034.91561814616 746408.050111034, -175037.17544795375 746409.6865727109, -175037.7988458228 746408.8347256045), (-175074.3338455754 746404.2505163469, -175081.32477169432 746409.9666914081, -175081.9036196921 746409.271787377, -175074.91269357948 746403.5556123884, -175074.3338455754 746404.2505163469), (-175085.3768078159 746396.2926872146, -175094.98366237737 746404.1496171774, -175095.64039757557 746403.3538140521, -175086.03354300777 746395.4856955895, -175085.3768078159 746396.2926872146), (-175055.22034863176 746405.4049600922, -175050.3444902698 746401.4260452943, -175049.88807933108 746401.9976728233, -175054.75282525632 746405.9765876626, -175055.22034863176 746405.4049600922), (-175058.96063576607 746400.8767950077, -175061.32067775298 746402.8046645443, -175061.8215384512 746402.1993703565, -175059.4615965761 746400.2604130179, -175058.96063576607 746400.8767950077), (-175067.95530500697 746399.307666904, -175070.3152468884 746401.2355363853, -175070.81620769209 746400.6302422085, -175068.4561657052 746398.7024735465, -175067.95530500697 746399.307666904), (-175070.3152468884 746392.8741111013, -175079.08726687828 746400.0474260789, -175079.56590269675 746399.4534213345, -175070.80509525537 746392.2801064346, -175070.3152468884 746392.8741111013), (-175079.1873789521 746391.4058823664, -175083.2728525083 746394.7459364762, -175084.1411245081 746393.6811026878, -175080.05565095192 746390.3410486493, -175079.1873789521 746391.4058823664), (-175068.46737825373 746390.5877022004, -175061.76587614315 746385.1179810863, -175061.120253388 746385.9025953347, -175067.82165539308 746391.3834043356, -175068.46737825373 746390.5877022004), (-175049.96606663696 746392.7620233392, -175046.13667976006 746389.6237676356, -175045.54661920742 746390.3410486493, -175049.37600608435 746393.4682165724, -175049.96606663696 746392.7620233392), (-175054.93092463602 746388.0993943168, -175050.72301401445 746384.669730895, -175050.02172894496 746385.5214768274, -175054.22953945474 746388.9624297132, -175054.93092463602 746388.0993943168), (-175076.35991369525 746380.8588484215, -175082.61601719828 746385.9698278238, -175083.57338894703 746384.7930072586, -175077.32839788072 746379.6820279661, -175076.35991369525 746380.8588484215), (-175065.77336239346 746379.9062034431, -175060.27420626793 746375.4117071079, -175059.56180876173 746376.2859309143, -175065.04985244424 746380.7804273214, -175065.77336239346 746379.9062034431), (-175055.07558658114 746380.0071025616, -175053.78434107086 746378.9534576769, -175053.2388303895 746379.6147954847, -175054.5301760116 746380.6683395841, -175055.07558658114 746380.0071025616), (-175067.72154331926 746374.3693517193, -175072.37465232468 746378.1689443326, -175073.28747419585 746377.048067005, -175068.6343651904 746373.2484744694, -175067.72154331926 746374.3693517193), (-175090.61987726216 746380.4105982651, -175085.8665560711 746386.2164813551, -175086.66805332623 746386.8665298276, -175091.41026207426 746381.0606466685, -175090.61987726216 746380.4105982651), (-175076.883099385 746388.5477453343, -175072.5973015694 746385.0395599864, -175072.1074532024 746385.6335645745, -175076.40446356655 746389.1417499604, -175076.883099385 746388.5477453343), (-175088.6606840115 746390.0833072847, -175091.4770368253 746392.3921941957, -175092.06709737793 746391.6748123568, -175089.23953200926 746389.3659254762, -175088.6606840115 746390.0833072847), (-175047.90666120066 746399.5766977314, -175043.63197582806 746396.090888905, -175043.131015018 746396.6961830317, -175047.4057003906 746400.1931805114, -175047.90666120066 746399.5766977314), (-175065.00530257294 746405.3713942314, -175066.47474756846 746406.5705924777, -175066.86438375612 746406.099864074, -175065.3949387606 746404.8893764177, -175065.00530257294 746405.3713942314), (-175098.34552587886 746405.1135519979, -175097.82234018907 746405.7636007012, -175098.94659875636 746406.6826802681, -175099.46978444615 746406.0438201764, -175098.34552587886 746405.1135519979), (-175093.5364422616 746410.0787792052, -175088.19316062971 746405.7188462244, -175087.5586503176 746406.4921713409, -175092.90193194948 746410.863393805, -175093.5364422616 746410.0787792052), (-175085.1096086936 746411.5919645187, -175083.97413757144 746410.5496084413, -175083.283964945 746411.2892669699, -175084.43054851016 746412.342912477, -175085.1096086936 746411.5919645187), (-175076.59367538296 746413.643010063, -175074.97956844236 746412.3204344377, -175074.6010446977 746412.7912636994, -175076.21515163832 746414.1138393297, -175076.59367538296 746413.643010063), (-175067.51000651126 746415.1113401921, -175065.01641501597 746413.0713824125, -175064.61566639156 746413.5645889159, -175067.10925788688 746415.6044459159, -175067.51000651126 746415.1113401921), (-175086.18941750773 746413.6094441973, -175088.49369707482 746415.4924589053, -175089.15053237847 746414.685466991, -175086.84615269958 746412.802452317, -175086.18941750773 746413.6094441973), (-175062.99044700793 746411.3677889118, -175058.82708625766 746407.9492118574, -175058.15913851728 746408.7674930872, -175062.33361170423 746412.1747807713, -175062.99044700793 746411.3677889118), (-175068.26695388876 746407.9716898948, -175070.17048483144 746409.5184410132, -175070.60467088412 746408.9803792622, -175068.71225238446 746407.4336281654, -175068.26695388876 746407.9716898948), (-175094.3268270737 746411.7152409428, -175095.02821224867 746412.2868685792, -175095.68494744686 746411.479876712, -175094.98366237737 746410.9082490843, -175094.3268270737 746411.7152409428), (-175063.97004363642 746369.7179128781, -175062.4449363266 746368.4625707816, -175061.81042601448 746369.2358953782, -175063.3355333243 746370.4800488773, -175063.97004363642 746369.7179128781))",6509
"SRID=3857;POLYGON ((-170915.09260947866 743601.1359470132, -170852.08577536195 743594.5569724189, -170853.91141911686 743577.0954592207, -170919.82370579 743583.9881001309, -170918.3209234717 743598.3675605302, -170915.40425836048 743598.0649793049, -170915.09260947866 743601.1359470132))",6511
"SRID=3857;POLYGON ((-170901.5783807344 743648.1970266843, -170898.76202792057 743647.984050431, -170897.10337110865 743670.4218542149, -170884.8693755435 743669.514008554, -170886.26083323942 743650.6851094839, -170883.2218311746 743650.4609451608, -170881.8525983584 743669.0993447342, -170870.49798724242 743668.2588290527, -170871.9228823666 743648.8918957362, -170868.86165542205 743648.6565433666, -170867.41443530627 743668.292393232, -170843.90381592466 743666.5664080657, -170846.16354562045 743635.8909718259, -170910.86247397735 743640.6542609918, -170912.1092697282 743623.7866070402, -170917.75318791065 743624.2013713047, -170920.78107753245 743583.057879811, -170931.20054178574 743583.8199770941, -170930.43248197154 743594.1983501896, -170933.33783441613 743594.4225142769, -170931.9798141611 743612.8591067798, -170928.92959954147 743612.6349426109, -170924.4657023524 743673.2574734918, -170899.875274163 743671.4529701561, -170901.5783807344 743648.1970266843), (-170859.55533729933 743648.1745497776, -170854.20084311257 743647.7935510852, -170853.63310755152 743655.9191047304, -170858.99871417496 743656.2890162171, -170859.55533729933 743648.1745497776))",6512
"SRID=3857;POLYGON ((-176747.03167672205 746276.2523598713, -176759.81118296226 746228.1802387395, -176786.16048014924 746235.1741116006, -176773.38097390905 746283.2574274628, -176747.03167672205 746276.2523598713))",6513
"SRID=3857;POLYGON ((-175176.13550924594 746160.0791053579, -175177.1708683006 746152.446284156, -175191.9540175573 746154.4637542933, -175191.34183223674 746158.9470439223, -175191.99856742859 746159.1151748506, -175190.16181123693 746166.1763719086, -175184.41768086885 746164.6856713145, -175185.28605298683 746161.3344426709, -175176.13550924594 746160.0791053579))",6698
"SRID=3857;POLYGON ((-175190.90764617774 746166.6582868235, -175192.0096798716 746159.3056829171, -175193.4568999874 746159.5298574921, -175193.8909859282 746154.609508072, -175207.32722736662 746155.7975122556, -175206.6593797317 746163.3854788416, -175202.26225730006 746162.9931733166, -175202.17315755112 746165.0554989204, -175196.75188861968 746164.8426136937, -175196.35113999527 746167.4877530152, -175190.90764617774 746166.6582868235))",6700
"SRID=3857;POLYGON ((-175271.60318221938 746161.9172562662, -175271.98160585223 746157.4114884532, -175278.10415985316 746157.9383591607, -175277.71462378363 746162.4440262193, -175271.60318221938 746161.9172562662))",6704
"SRID=3857;POLYGON ((-175265.70317735765 746175.2101856879, -175265.75883966565 746170.4803429645, -175271.5140824768 746170.5475751894, -175271.44730772576 746175.2886064872, -175265.70317735765 746175.2101856879))",6705
"SRID=3857;POLYGON ((-175374.19523070203 746141.652744602, -175375.04117771029 746132.0249345142, -175384.67035726964 746132.8767773083, -175384.53680776124 746134.434709217, -175389.0118173933 746134.8270145376, -175387.21961107297 746155.0577563802, -175379.672061836 746154.3853335176, -175380.75187065013 746142.235658779, -175374.19523070203 746141.652744602))",6709
"SRID=3857;POLYGON ((-175235.4577185427 746116.8266339562, -175235.8473547304 746111.7605347073, -175258.16684066918 746113.4754082412, -175257.77730459964 746118.5415076487, -175235.4577185427 746116.8266339562))",6711
"SRID=3857;POLYGON ((-175287.34370322485 746150.2830603317, -175287.80011416358 746142.3925002961, -175290.41614272425 746142.549442605, -175291.54050140336 746122.7557648747, -175289.20278440803 746122.6324891011, -175289.59242058938 746115.761805572, -175300.43485835314 746116.378285157, -175298.92096359184 746143.0313573121, -175302.27171465027 746143.2219661203, -175301.82641615457 746151.1013377049, -175287.34370322485 746150.2830603317))",6713
"SRID=3857;POLYGON ((-175263.53244729264 746152.7376909057, -175264.85723034936 746142.6615298614, -175279.64037960605 746144.6005788762, -175278.31569666113 746154.6767402773, -175263.53244729264 746152.7376909057))",6715
"SRID=3857;POLYGON ((-175231.43911984938 746163.3406237653, -175232.18495479014 746155.2932203002, -175245.0311356759 746156.4812244986, -175244.2741882984 746164.539917509, -175231.43911984938 746163.3406237653))",6716
"SRID=3857;POLYGON ((-175204.421874922 746113.4754082412, -175205.1342724282 746105.6184191853, -175224.6930678675 746107.4117132352, -175223.9695579183 746115.2687025482, -175204.421874922 746113.4754082412))",6718
"SRID=3857;POLYGON ((-175260.54910754215 746210.9644392112, -175262.69761272107 746199.3750879634, -175281.21003678718 746202.8048405711, -175279.06153160194 746214.3940917469, -175260.54910754215 746210.9644392112))",6722
"SRID=3857;POLYGON ((-175329.32229690676 746222.0157329977, -175329.43362152908 746216.221055901, -175342.1018031469 746216.4787964473, -175342.2131277756 746211.1100923425, -175356.6957405872 746211.4126879806, -175356.46197889946 746222.5760692772, -175329.32229690676 746222.0157329977))",6725
"SRID=3857;POLYGON ((-175296.4051472168 746257.2319568256, -175296.70568366186 746228.2698482008, -175312.35720503022 746228.4267907622, -175312.05666859145 746257.4000880558, -175296.4051472168 746257.2319568256))",6729
"SRID=3857;POLYGON ((-175341.48951771454 746284.9274511907, -175341.45608027995 746282.3271613707, -175329.57838358602 746282.4504374973, -175329.45584640882 746270.805128166, -175340.59892071685 746270.6818520591, -175340.57669583708 746268.2944485433, -175338.65083990918 746268.3169265236, -175338.59517759486 746262.3877798462, -175347.2224355278 746262.2980695311, -175347.289310397 746268.2272161988, -175355.20407071194 746268.1487952599, -175355.3488327689 746282.1815080498, -175349.8273516518 746282.2375518144, -175349.84957653153 746284.8378416365, -175341.48951771454 746284.9274511907))",6730
"SRID=3857;POLYGON ((-175334.59880378126 746254.4074933565, -175334.7435658382 746232.6074906891, -175346.69924984436 746232.6971001577, -175346.68813740133 746235.4431416151, -175368.86296140135 746235.600084197, -175368.75163677268 746251.7286832725, -175346.576812779 746251.5718414487, -175346.55458789924 746254.4859142757, -175334.59880378126 746254.4074933565))",6731
"SRID=3857;POLYGON ((-175048.10698545378 746291.876576909, -175032.11037776907 746278.6508515261, -175047.96232350866 746259.4847943869, -175063.9589311934 746272.7105151409, -175048.10698545378 746291.876576909), (-175052.6488699487 746272.9235015847, -175048.85282039456 746269.7851519515, -175041.32769626097 746278.8862151859, -175045.12364570328 746282.0245653343, -175052.6488699487 746272.9235015847))",6750
"SRID=3857;POLYGON ((-175028.25876601238 746275.4565586046, -175012.3289330787 746262.2980695311, -175028.8487264532 746242.3138401585, -175044.7674469502 746255.4835130218, -175028.25876601238 746275.4565586046), (-175034.42586989098 746253.8582445447, -175031.83206621005 746251.7174946816, -175024.4738289013 746260.6280464934, -175027.05652013922 746262.7687966987, -175034.42586989098 746253.8582445447))",6751
"SRID=3857;POLYGON ((-175066.02944907275 746267.5435025543, -175050.63391427186 746254.8221767133, -175066.02944907275 746236.194087164, -175081.42488376182 746248.9266980595, -175066.02944907275 746267.5435025543), (-175069.62507426194 746249.5655563181, -175064.82720319956 746245.5978414341, -175058.8493111437 746252.8383694501, -175063.63606976307 746256.7947954689, -175069.62507426194 746249.5655563181))",6755
"SRID=3857;POLYGON ((-175083.1948652024 746245.4520874195, -175068.06662962932 746232.9437529987, -175084.3859986389 746213.2059854947, -175099.51433431744 746225.7144161985, -175083.1948652024 746245.4520874195), (-175090.23034119263 746224.0220171125, -175086.1783050647 746220.6706840404, -175077.35062276045 746231.3521517423, -175081.40265888206 746234.7033846639, -175090.23034119263 746224.0220171125))",6756
"SRID=3857;POLYGON ((-175102.45322431478 746221.8587904611, -175087.6032001889 746209.5858247846, -175102.75376075355 746191.2603461493, -175117.60378487306 746203.5333077189, -175102.45322431478 746221.8587904611), (-175106.52748531612 746205.0240093642, -175103.05429719228 746202.1546934795, -175096.28612043618 746210.336769979, -175099.77042100305 746213.2059854947, -175106.52748531612 746205.0240093642))",6757
"SRID=3857;POLYGON ((-175213.0713577347 746273.2149089753, -175193.04493880813 746256.6603308079, -175207.2493401725 746239.478088079, -175227.28687154214 746256.0326610521, -175213.0713577347 746273.2149089753), (-175215.76527348947 746252.6029051044, -175209.64271948853 746247.5367932959, -175203.2196290425 746255.3153817977, -175209.34218304345 746260.3814943257, -175215.76527348947 746252.6029051044))",6758
"SRID=3857;POLYGON ((-175190.82975898366 746255.304092408, -175171.37107561814 746239.209158836, -175186.209987301 746221.2647876496, -175205.6685705547 746237.3597159476, -175190.82975898366 746255.304092408), (-175194.10252273618 746239.2652025567, -175186.054112801 746232.6074906891, -175180.6996186206 746239.0970713822, -175188.73691611274 746245.7546832474, -175194.10252273618 746239.2652025567))",6759
"SRID=3857;POLYGON ((-175090.65331469677 746286.2052693531, -175074.48972007536 746272.8449798413, -175088.8611083764 746255.4498464552, -175105.03581544088 746268.8212195196, -175090.65331469677 746286.2052693531), (-175094.5605887614 746268.9333070279, -175091.2544876861 746266.1985532766, -175085.12072113663 746273.6295924807, -175088.4158098807 746276.3531580073, -175094.5605887614 746268.9333070279))",6760
"SRID=3857;POLYGON ((-175106.33827349968 746263.5197426222, -175091.2544876861 746251.0449698404, -175107.22877037927 746231.7219797919, -175122.31255619286 746244.1855595888, -175106.33827349968 746263.5197426222), (-175112.92835087606 746243.333715057, -175110.06744819097 746240.9687907026, -175101.52918988245 746251.2916227576, -175104.3900925739 746253.6677361492, -175112.92835087606 746243.333715057))",6761
"SRID=3857;POLYGON ((-175124.39428662075 746240.5204408934, -175109.911573691 746228.550066774, -175125.4406580003 746209.7651444508, -175139.92337093002 746221.7467030428, -175124.39428662075 746240.5204408934), (-175129.87121786652 746224.42551166, -175125.14012156153 746220.5250308899, -175117.88209643844 746229.3010122221, -175122.60198019492 746233.212682211, -175129.87121786652 746224.42551166))",6763
"SRID=3857;POLYGON ((-175162.91080461553 746232.7644332566, -175147.2592832472 746219.8188398808, -175161.86443324233 746202.1546934795, -175177.51595461066 746215.1001818884, -175162.91080461553 746232.7644332566), (-175166.36166774778 746216.9943783412, -175162.3208441747 746213.6543350801, -175155.5860047414 746221.8027467518, -175159.62682831447 746225.14279051, -175166.36166774778 746216.9943783412))",6764
"SRID=3857;POLYGON ((-174985.41190033066 746326.0729691995, -174970.7733129073 746314.4835935908, -174989.14107502194 746291.2825733381, -175003.77956233983 746302.8718432385, -174985.41190033066 746326.0729691995), (-174990.62163246048 746307.7474515828, -174986.60303376714 746304.5755341613, -174980.49159220923 746312.2867975621, -174984.51019089625 746315.4699040344, -174990.62163246048 746307.7474515828))",6766
"SRID=3857;POLYGON ((-175004.81482127635 746341.1480515637, -174990.20977139304 746329.5811507694, -175008.94484470383 746305.9204843751, -175015.6128092743 746311.1995881777, -175013.73150321137 746313.5869935703, -175015.46814732917 746314.9544220049, -175017.5275527655 746312.342841364, -175023.72799396052 746317.2520163518, -175004.81482127635 746341.1480515637), (-175009.2453811426 746324.7392070902, -175005.26011977205 746321.5896658885, -174999.4826520875 746328.8862477584, -175003.46791345804 746332.0357893863, -175009.2453811426 746324.7392070902))",6767
"SRID=3857;POLYGON ((-174949.94549684372 746380.6011071014, -174967.94584765044 746357.8707868186, -174981.4600763947 746368.5746585003, -174969.17031840968 746384.1092921649, -174973.67876547002 746387.6735213321, -174967.96807253017 746394.8804014762, -174949.94549684372 746380.6011071014), (-174971.80867196192 746368.8772550084, -174968.83644464816 746366.5235138463, -174961.2444456517 746376.1177993193, -174964.20546041062 746378.4715409003, -174971.80867196192 746368.8772550084))",6768
"SRID=3857;POLYGON ((-174986.74769571226 746365.9295094593, -174971.7974594071 746354.0935728311, -174989.14107502194 746332.1926314407, -175006.20637907778 746345.6985889222, -175001.24152108506 746351.9751962658, -174999.1264533344 746350.2939818884, -174997.2673721512 746352.647722353, -174998.79247946103 746353.8582088543, -174993.4825351456 746360.5719793151, -174991.95742784208 746359.3614926654, -174986.74769571226 746365.9295094593), (-174983.16318296612 746355.6291338089, -174990.15410908504 746346.7969875957, -174987.34886870792 746344.5778130571, -174982.4396730232 746350.7758984171, -174981.1037775298 746349.7223548994, -174979.02214721372 746352.3451259345, -174983.16318296612 746355.6291338089))",6769
"SRID=3857;POLYGON ((-174945.99367290142 746333.3807402747, -174930.90988709417 746321.4439116652, -174945.10307591004 746303.5219915258, -174960.1757492806 746315.4699040344, -174945.99367290142 746333.3807402747), (-174951.225629911 746316.5684028994, -174946.4388712853 746312.7800031578, -174939.87101878866 746321.0852716084, -174944.6466649713 746324.8736719183, -174951.225629911 746316.5684028994))",6770
"SRID=3857;POLYGON ((-174925.2436439138 746358.7673875641, -174913.85569547504 746349.7447321148, -174910.56060673093 746353.9030640869, -174907.94467828207 746351.8295427597, -174927.03595034598 746327.7093276285, -174944.26814122667 746341.3497488727, -174935.61865840762 746352.2777926886, -174932.39044452636 746349.733543504, -174925.2436439138 746358.7673875641), (-174933.77078977926 746338.8279782048, -174929.71875365768 746335.6223923734, -174923.2844506631 746343.7595327866, -174927.3364867847 746346.9651191008, -174933.77078977926 746338.8279782048))",6771
"SRID=3857;POLYGON ((-174943.3108695897 746377.4291854532, -174928.51650777817 746365.7165226536, -174947.48534277666 746341.7420556755, -174964.0607984655 746354.8668972185, -174954.15330734712 746367.3753602881, -174952.3834260247 746365.9630752957, -174943.3108695897 746377.4291854532), (-174951.96035240873 746351.7510209095, -174949.1328871519 746349.5093681505, -174940.62806627798 746360.2469048286, -174943.45553153483 746362.4997466345, -174951.96035240873 746351.7510209095))",6772
"SRID=3857;POLYGON ((-174965.99776683643 746349.5093681505, -174950.58000715583 746337.3036063003, -174964.76208352865 746319.3816809701, -174980.17984321562 746331.5874388252, -174965.99776683643 746349.5093681505), (-174972.40974483948 746331.5089170041, -174966.29830328154 746326.6669731479, -174959.14049033774 746335.7120020107, -174965.251931902 746340.5540474581, -174972.40974483948 746331.5089170041))",6773
"SRID=3857;POLYGON ((-174971.98677133533 746202.3564910744, -174969.22598071772 746199.9690905374, -174964.82885828603 746205.0351979455, -174959.93087514985 746200.7760792811, -174969.72694152774 746189.4670493539, -174982.1279240296 746200.2157432245, -174972.32074520868 746211.5247753713, -174967.58964889735 746207.4225987034, -174971.98677133533 746202.3564910744))",6779
"SRID=3857;POLYGON ((-174942.56503465524 746290.6885697736, -174926.50155210134 746277.7542520923, -174941.81919971446 746258.7338485249, -174957.87146971351 746271.6681617136, -174942.56503465524 746290.6885697736), (-174948.66526366465 746272.4527743299, -174945.54837440574 746269.9309060372, -174940.36086715566 746276.3868245803, -174938.29034928264 746274.716801113, -174935.28468453427 746278.4491544542, -174940.47219178433 746282.6298582, -174948.66526366465 746272.4527743299))",6804
"SRID=3857;POLYGON ((-174986.0018607778 746241.1257333003, -174969.20375583795 746227.7095118694, -174984.5880780903 746208.4537623321, -174990.93328134227 746213.5198705251, -174979.85698177898 746227.3844381779, -174985.97963589808 746232.2712283817, -174997.04472290017 746218.395470914, -175001.38618302383 746221.8587904611, -174986.0018607778 746241.1257333003))",6813
"SRID=3857;POLYGON ((-174982.87375896407 746188.8729460962, -174983.79769327823 746175.837854511, -174970.62865096217 746174.3920087458, -174971.2742737173 746168.5076265202, -175007.85392345296 746172.5425680461, -175007.208200586 746178.4157621355, -175002.6997535257 746177.9225577437, -175001.83148152588 746190.2179942725, -174982.87375896407 746188.8729460962))",6816
"SRID=3857;POLYGON ((-174923.15090116105 746315.6156582416, -174906.25258403557 746301.448472113, -174923.15090116105 746281.284807754, -174940.0603307169 746295.451988666, -174923.15090116105 746315.6156582416), (-174929.51832928642 746294.6562879246, -174926.7354139072 746292.3249271386, -174919.17675222718 746301.3475731327, -174921.95976772456 746303.6788334986, -174929.51832928642 746294.6562879246))",6830
"SRID=3857;POLYGON ((-174901.0539643488 746340.6997009342, -174883.84399835416 746326.2746664531, -174900.86475253236 746305.9653395683, -174918.07471853332 746320.3903687054, -174901.0539643488 746340.6997009342), (-174909.4251356088 746320.0205400506, -174905.23954997878 746316.5123590934, -174898.67169748215 746324.3580890086, -174902.8461706691 746327.8550818685, -174909.4251356088 746320.0205400506))",6831
"SRID=3857;POLYGON ((-175441.00912669778 745459.5254372747, -175447.79962844544 745452.509286578, -175454.03350707504 745458.5391422462, -175447.2430053274 745465.5553945111, -175441.00912669778 745459.5254372747))",6870
"SRID=3857;POLYGON ((-175453.73297062996 745439.7993383955, -175453.78863294428 745432.1889943673, -175463.57358688547 745432.2562256859, -175463.51792457115 745439.8777581424, -175453.73297062996 745439.7993383955))",6871
"SRID=3857;POLYGON ((-174010.20859176046 744724.0906259147, -174010.2642540685 744719.8539988592, -174003.54052707186 744719.7642910684, -174003.61851437777 744713.1852832455, -174021.01769219514 744713.39826363, -174020.90636757278 744722.0955849669, -174016.78755669383 744722.0507310698, -174016.75421937736 744724.1690446447, -174010.20859176046 744724.0906259147))",6885
"SRID=3857;POLYGON ((-174031.34815681764 744713.35340974, -174038.92904337737 744713.35340974, -174039.02925555667 744722.5886754661, -174031.49291887457 744722.5886754661, -174031.34815681764 744713.35340974))",6886
"SRID=3857;POLYGON ((-174022.00850137215 744722.1851919728, -174022.06416368647 744718.1840228118, -174023.38884662505 744718.1952110834, -174023.46673381914 744712.6024850582, -174030.39078506888 744712.7033811077, -174030.25723556677 744722.308565386, -174022.00850137215 744722.1851919728))",6887
"SRID=3857;POLYGON ((-174054.32447806644 744727.2960167151, -174054.10182881542 744708.5451736388, -174060.29125768555 744708.4779432073, -174060.36914487332 744715.1690347969, -174061.93880205444 744715.157846526, -174062.02780168524 744722.4430262898, -174060.12427074887 744722.465402841, -174060.17993305688 744727.228786254, -174054.32447806644 744727.2960167151))",6888
"SRID=3857;POLYGON ((-174004.00815056544 744668.4096278622, -174004.44223650626 744661.3934775619, -174010.66500269287 744661.7857723482, -174010.2308166402 744668.8019226922, -174004.00815056544 744668.4096278622))",6891
"SRID=3857;POLYGON ((-173995.83730356488 744676.9724812761, -173995.97085306694 744668.6786501879, -174000.28998819905 744668.7458805771, -174000.15643869698 744677.0397116755, -173995.83730356488 744676.9724812761))",6892
"SRID=3857;POLYGON ((-174022.2088256316 744676.8156439576, -174022.36470012524 744672.8927959665, -174027.07347144504 744673.0722114012, -174026.9288094999 744676.9949586038, -174022.2088256316 744676.8156439576))",6893
